Statement,Suspiciousness
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory#60,1.0
com.google.gson.Gson#185,0.99
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#105,0.98
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#111,0.97
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory#67,0.96
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory#55,0.95
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory#70,0.94
com.google.gson.Gson#214,0.93
com.google.gson.Gson#223,0.92
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory#58,0.91
com.google.gson.internal.bind.TypeAdapters#329,0.9
com.google.gson.GsonBuilder#517,0.89
com.google.gson.Gson#416,0.88
com.google.gson.reflect.TypeToken#303,0.87
com.google.gson.Gson#363,0.86
com.google.gson.Gson#329,0.85
com.google.gson.internal.UnsafeAllocator#43,0.84
com.google.gson.internal.UnsafeAllocator#44,0.83
com.google.gson.internal.UnsafeAllocator#41,0.82
com.google.gson.Gson#396,0.81
com.google.gson.internal.ConstructorConstructor#94,0.8
com.google.gson.Gson#488,0.79
com.google.gson.internal.ConstructorConstructor#218,0.78
com.google.gson.GsonBuilder#576,0.77
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory#42,0.76
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper#59,0.75
com.google.gson.Gson#332,0.74
com.google.gson.Gson#657,0.73
com.google.gson.GsonBuilder#562,0.72
com.google.gson.Gson#250,0.71
com.google.gson.stream.JsonWriter#535,0.7
com.google.gson.stream.JsonWriter#533,0.69
com.google.gson.GsonBuilder#471,0.68
com.google.gson.stream.JsonWriter#529,0.67
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#117,0.66
com.google.gson.stream.JsonWriter#527,0.65
com.google.gson.stream.JsonWriter#523,0.64
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#125,0.63
com.google.gson.internal.bind.TypeAdapters#896,0.62
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#124,0.61
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#121,0.6
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#244,0.59
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#122,0.58
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory#52,0.57
com.google.gson.Gson#375,0.56
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#242,0.55
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#135,0.54
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#248,0.53
com.google.gson.Gson#330,0.52
com.google.gson.Gson#195,0.51
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#241,0.5
com.google.gson.Gson#296,0.49
com.google.gson.internal.bind.TypeAdapters#850,0.48
com.google.gson.stream.JsonWriter#620,0.47
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#232,0.46
com.google.gson.stream.JsonWriter#619,0.45
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#247,0.44
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#237,0.43
com.google.gson.stream.JsonWriter#615,0.42
com.google.gson.internal.bind.TypeAdapters#840,0.41
com.google.gson.Gson#236,0.4
com.google.gson.Gson#198,0.39
com.google.gson.internal.bind.TypeAdapters#839,0.38
com.google.gson.stream.JsonWriter#651,0.37
com.google.gson.Gson#356,0.36
com.google.gson.stream.JsonWriter#402,0.35
com.google.gson.stream.JsonWriter#386,0.34
com.google.gson.stream.JsonWriter#401,0.33
com.google.gson.GsonBuilder#521,0.32
com.google.gson.Gson#353,0.31
com.google.gson.stream.JsonWriter#396,0.3
com.google.gson.Gson#367,0.29
com.google.gson.internal.bind.TypeAdapters#878,0.28
com.google.gson.Gson#352,0.27
com.google.gson.internal.ConstructorConstructor#89,0.26
com.google.gson.internal.bind.TypeAdapters#862,0.25
com.google.gson.Gson#366,0.24
com.google.gson.internal.ConstructorConstructor#122,0.23
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory#47,0.22
com.google.gson.GsonBuilder#479,0.21
com.google.gson.internal.ConstructorConstructor#134,0.2
com.google.gson.stream.JsonWriter#347,0.19
com.google.gson.Gson#276,0.18
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper#70,0.17
com.google.gson.FieldNamingPolicy#39,0.16
com.google.gson.internal.bind.TypeAdapters#590,0.15
com.google.gson.internal.ConstructorConstructor#85,0.14
com.google.gson.Gson#320,0.13
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#120,0.12
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper#53,0.11
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper#54,0.1
com.google.gson.internal.bind.TypeAdapters#824,0.09
com.google.gson.Gson#503,0.08
com.google.gson.Gson#239,0.07
com.google.gson.internal.ConstructorConstructor#101,0.06
com.google.gson.internal.ConstructorConstructor#103,0.05
com.google.gson.Gson#371,0.04
com.google.gson.Gson#411,0.03
com.google.gson.stream.JsonWriter#346,0.02
com.google.gson.Gson#417,0.01
