Statement,Suspiciousness
org.joda.time.tz.ZoneInfoCompiler#139,1.0
org.joda.time.Period#968,0.99
org.joda.time.Period#969,0.98
org.joda.time.tz.ZoneInfoCompiler#509,0.97
org.joda.time.tz.DateTimeZoneBuilder#1443,0.96
org.joda.time.format.FormatUtils#337,0.95
org.joda.time.format.FormatUtils#238,0.94
org.joda.time.format.FormatUtils#237,0.93
org.joda.time.tz.ZoneInfoCompiler#295,0.92
org.joda.time.tz.ZoneInfoCompiler#424,0.91
org.joda.time.format.FormatUtils#254,0.9
org.joda.time.tz.DateTimeZoneBuilder#949,0.89
org.joda.time.format.FormatUtils#252,0.88
org.joda.time.format.FormatUtils#251,0.87
org.joda.time.tz.ZoneInfoCompiler#423,0.86
org.joda.time.Period#226,0.85
org.joda.time.tz.ZoneInfoCompiler#386,0.84
org.joda.time.Period#110,0.83
org.joda.time.format.PeriodFormatterBuilder#1651,0.82
org.joda.time.tz.ZoneInfoCompiler#332,0.81
org.joda.time.format.PeriodFormatterBuilder#1106,0.8
org.joda.time.tz.DateTimeZoneBuilder#162,0.79
org.joda.time.format.PeriodFormatterBuilder#1100,0.78
org.joda.time.tz.ZoneInfoCompiler#439,0.77
org.joda.time.format.PeriodFormatterBuilder#1142,0.76
org.joda.time.tz.ZoneInfoCompiler#141,0.75
org.joda.time.tz.ZoneInfoCompiler#331,0.74
org.joda.time.tz.DateTimeZoneBuilder#942,0.73
org.joda.time.format.PeriodFormatterBuilder#1101,0.72
org.joda.time.PeriodType#693,0.71
org.joda.time.format.PeriodFormatterBuilder#1143,0.7
org.joda.time.tz.ZoneInfoCompiler#415,0.69
org.joda.time.tz.ZoneInfoCompiler#429,0.68
org.joda.time.tz.ZoneInfoCompiler#142,0.67
org.joda.time.format.PeriodFormatterBuilder#1673,0.66
org.joda.time.PeriodType#692,0.65
org.joda.time.tz.ZoneInfoCompiler#461,0.64
org.joda.time.tz.ZoneInfoCompiler#428,0.63
org.joda.time.format.PeriodFormatterBuilder#864,0.62
org.joda.time.format.PeriodFormatterBuilder#868,0.61
org.joda.time.format.PeriodFormatterBuilder#1674,0.6
org.joda.time.format.PeriodFormatterBuilder#1553,0.59
org.joda.time.tz.ZoneInfoCompiler#505,0.58
org.joda.time.format.PeriodFormatterBuilder#1558,0.57
org.joda.time.tz.ZoneInfoCompiler#393,0.56
org.joda.time.format.PeriodFormatterBuilder#1441,0.55
org.joda.time.tz.ZoneInfoCompiler#268,0.54
org.joda.time.format.PeriodFormatterBuilder#1494,0.53
org.joda.time.format.PeriodFormatterBuilder#1091,0.52
org.joda.time.tz.ZoneInfoCompiler#321,0.51
org.joda.time.tz.ZoneInfoCompiler#450,0.5
org.joda.time.format.PeriodFormatterBuilder#1147,0.49
org.joda.time.format.PeriodFormatterBuilder#1466,0.48
org.joda.time.format.PeriodFormatterBuilder#1639,0.47
org.joda.time.format.PeriodFormatterBuilder#1636,0.46
org.joda.time.tz.ZoneInfoCompiler#166,0.45
org.joda.time.format.PeriodFormatterBuilder#1114,0.44
org.joda.time.chrono.GregorianChronology#202,0.43
org.joda.time.tz.ZoneInfoCompiler#357,0.42
org.joda.time.format.PeriodFormatterBuilder#1677,0.41
org.joda.time.format.PeriodFormatterBuilder#1633,0.4
org.joda.time.format.PeriodFormatterBuilder#1659,0.39
org.joda.time.tz.ZoneInfoCompiler#164,0.38
org.joda.time.tz.ZoneInfoCompiler#355,0.37
org.joda.time.format.PeriodFormatterBuilder#1412,0.36
org.joda.time.format.PeriodFormatterBuilder#1404,0.35
org.joda.time.tz.ZoneInfoCompiler#171,0.34
org.joda.time.format.PeriodFormatterBuilder#1403,0.33
org.joda.time.format.PeriodFormatterBuilder#1413,0.32
org.joda.time.tz.DateTimeZoneBuilder#1461,0.31
org.joda.time.format.PeriodFormatterBuilder#1406,0.3
org.joda.time.tz.DateTimeZoneBuilder#1428,0.29
org.joda.time.tz.ZoneInfoCompiler#170,0.28
org.joda.time.tz.ZoneInfoCompiler#828,0.27
org.joda.time.tz.ZoneInfoCompiler#279,0.26
org.joda.time.format.PeriodFormatterBuilder#1483,0.25
org.joda.time.format.PeriodFormatterBuilder#1487,0.24
org.joda.time.format.PeriodFormatterBuilder#1479,0.23
org.joda.time.format.PeriodFormatterBuilder#1410,0.22
org.joda.time.format.PeriodFormatterBuilder#1398,0.21
org.joda.time.tz.ZoneInfoCompiler#842,0.2
org.joda.time.format.PeriodFormatterBuilder#1485,0.19
org.joda.time.format.PeriodFormatterBuilder#1477,0.18
org.joda.time.format.PeriodFormatterBuilder#1465,0.17
org.joda.time.tz.ZoneInfoCompiler#536,0.16
org.joda.time.tz.ZoneInfoCompiler#690,0.15
org.joda.time.Period#683,0.14
org.joda.time.tz.ZoneInfoCompiler#219,0.13
org.joda.time.tz.DateTimeZoneBuilder#1418,0.12
org.joda.time.tz.ZoneInfoCompiler#652,0.11
org.joda.time.base.BasePeriod#296,0.1
org.joda.time.base.BasePeriod#295,0.09
org.joda.time.tz.DateTimeZoneBuilder#1351,0.08
org.joda.time.tz.ZoneInfoCompiler#224,0.07
org.joda.time.tz.DateTimeZoneBuilder#1342,0.06
org.joda.time.tz.ZoneInfoCompiler#207,0.05
org.joda.time.format.PeriodFormatterBuilder#1790,0.04
org.joda.time.format.PeriodFormatterBuilder#1789,0.03
org.joda.time.tz.ZoneInfoCompiler#730,0.02
org.joda.time.tz.DateTimeZoneBuilder#1397,0.01
