Statement,Suspiciousness
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#500,1.0
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#486,0.99
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#495,0.98
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#585,0.97
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#584,0.96
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#587,0.95
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#589,0.94
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#526,0.93
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#486,0.92
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#514,0.91
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#523,0.9
org.apache.commons.jxpath.ri.NamespaceResolver#66,0.89
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#629,0.88
org.apache.commons.jxpath.ri.NamespaceResolver#68,0.87
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#118,0.86
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#620,0.85
org.apache.commons.jxpath.ri.model.dom.NamespacePointer#59,0.84
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#223,0.83
org.apache.commons.jxpath.ri.model.dom.NamespacePointer#58,0.82
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#131,0.81
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#512,0.8
org.apache.commons.jxpath.ri.model.dom.DOMNamespaceIterator#76,0.79
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#646,0.78
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#507,0.77
org.apache.commons.jxpath.ri.model.dom.DOMNamespaceIterator#70,0.76
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#522,0.75
org.apache.commons.jxpath.ri.model.dom.DOMNamespaceIterator#86,0.74
org.apache.commons.jxpath.ri.model.dom.DOMNamespaceIterator#89,0.73
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#678,0.72
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#514,0.71
org.apache.commons.jxpath.ri.model.dom.DOMNamespaceIterator#56,0.7
org.apache.commons.jxpath.ri.model.dom.DOMNamespaceIterator#65,0.69
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#515,0.68
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#672,0.67
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#680,0.66
org.apache.commons.jxpath.ri.model.dom.DOMNamespaceIterator#69,0.65
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#245,0.64
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#427,0.63
org.apache.commons.jxpath.ri.model.dom.DOMNamespaceIterator#61,0.62
org.apache.commons.jxpath.ri.model.dom.DOMNamespaceIterator#60,0.61
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#406,0.6
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#700,0.59
org.apache.commons.jxpath.ri.model.dom.DOMNamespaceIterator#91,0.58
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#136,0.57
org.apache.commons.jxpath.ri.model.dom.DOMNamespaceIterator#95,0.56
org.apache.commons.jxpath.ri.model.dom.DOMNamespaceIterator#38,0.55
org.apache.commons.jxpath.ri.model.dom.DOMNamespaceIterator#93,0.54
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#539,0.53
org.apache.commons.jxpath.ri.model.dom.DOMNamespaceIterator#48,0.52
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#390,0.51
org.apache.commons.jxpath.ri.model.dom.DOMNamespaceIterator#46,0.5
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#426,0.49
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#501,0.48
org.apache.commons.jxpath.ri.NamespaceResolver#55,0.47
org.apache.commons.jxpath.ri.NamespaceResolver#54,0.46
org.apache.commons.jxpath.ri.model.dom.DOMNamespaceIterator#90,0.45
