Statement,Suspiciousness
org.apache.commons.collections4.map.MultiValueMap#164,1.0
org.apache.commons.collections4.functors.PrototypeFactory#80,0.99
org.apache.commons.collections4.MapUtils#626,0.98
org.apache.commons.collections4.functors.PrototypeFactory#79,0.97
org.apache.commons.collections4.map.MultiValueMap#179,0.96
org.apache.commons.collections4.map.MultiValueMap#163,0.95
org.apache.commons.collections4.map.AbstractMapDecorator#130,0.94
org.apache.commons.collections4.map.AbstractMapDecorator#127,0.93
org.apache.commons.collections4.map.AbstractMapDecorator#51,0.92
org.apache.commons.collections4.functors.PrototypeFactory#81,0.91
org.apache.commons.collections4.MapUtils#766,0.9
org.apache.commons.collections4.functors.InvokerTransformer#131,0.89
org.apache.commons.collections4.map.MultiValueMap#148,0.88
org.apache.commons.collections4.MapUtils#237,0.87
org.apache.commons.collections4.MapUtils#245,0.86
org.apache.commons.collections4.functors.InvokerTransformer#139,0.85
org.apache.commons.collections4.map.MultiValueMap#555,0.84
org.apache.commons.collections4.functors.InvokerTransformer#127,0.83
org.apache.commons.collections4.map.MultiValueMap#152,0.82
org.apache.commons.collections4.functors.InvokerTransformer#59,0.81
org.apache.commons.collections4.map.AbstractMapDecorator#73,0.8
org.apache.commons.collections4.MapUtils#767,0.79
org.apache.commons.collections4.map.AbstractMapDecorator#64,0.78
org.apache.commons.collections4.map.AbstractIterableMap#28,0.77
org.apache.commons.collections4.functors.InvokerTransformer#85,0.76
org.apache.commons.collections4.map.MultiValueMap#557,0.75
org.apache.commons.collections4.functors.InvokerTransformer#84,0.74
org.apache.commons.collections4.map.MultiValueMap#215,0.73
org.apache.commons.collections4.MapUtils#1339,0.72
org.apache.commons.collections4.functors.PrototypeFactory#73,0.71
org.apache.commons.collections4.MapUtils#1338,0.7
org.apache.commons.collections4.map.MultiValueMap#219,0.69
org.apache.commons.collections4.functors.PrototypeFactory#72,0.68
org.apache.commons.collections4.MapUtils#1604,0.67
org.apache.commons.collections4.map.MultiValueMap#213,0.66
org.apache.commons.collections4.map.MultiValueMap#217,0.65
org.apache.commons.collections4.map.AbstractMapDecorator#98,0.64
org.apache.commons.collections4.MapUtils#1257,0.63
org.apache.commons.collections4.map.MultiValueMap#293,0.62
org.apache.commons.collections4.map.MultiValueMap#218,0.61
org.apache.commons.collections4.MapUtils#1522,0.6
org.apache.commons.collections4.MapUtils#1448,0.59
org.apache.commons.collections4.functors.InvokerTransformer#75,0.58
org.apache.commons.collections4.map.MultiValueMap#297,0.57
org.apache.commons.collections4.map.MultiValueMap#224,0.56
org.apache.commons.collections4.MapUtils#1521,0.55
org.apache.commons.collections4.map.AbstractMapDecorator#140,0.54
org.apache.commons.collections4.MapUtils#1200,0.53
org.apache.commons.collections4.map.MultiValueMap#292,0.52
org.apache.commons.collections4.map.MultiValueMap#341,0.51
org.apache.commons.collections4.map.MultiValueMap#238,0.5
org.apache.commons.collections4.functors.InvokerTransformer#57,0.49
org.apache.commons.collections4.map.MultiValueMap#340,0.48
org.apache.commons.collections4.functors.InvokerTransformer#77,0.47
org.apache.commons.collections4.map.MultiValueMap#239,0.46
org.apache.commons.collections4.map.MultiValueMap#195,0.45
org.apache.commons.collections4.MapUtils#1697,0.44
org.apache.commons.collections4.map.AbstractMapDecorator#135,0.43
org.apache.commons.collections4.map.AbstractMapDecorator#82,0.42
org.apache.commons.collections4.ClosureUtils#186,0.41
org.apache.commons.collections4.ClosureUtils#184,0.4
org.apache.commons.collections4.map.MultiValueMap#367,0.39
org.apache.commons.collections4.MapUtils#1753,0.38
org.apache.commons.collections4.map.MultiValueMap#241,0.37
org.apache.commons.collections4.MapUtils#1714,0.36
org.apache.commons.collections4.map.MultiValueMap#240,0.35
org.apache.commons.collections4.map.MultiValueMap#366,0.34
org.apache.commons.collections4.MapUtils#1414,0.33
org.apache.commons.collections4.MapUtils#1322,0.32
org.apache.commons.collections4.map.MultiValueMap#365,0.31
org.apache.commons.collections4.map.AbstractMapDecorator#122,0.3
org.apache.commons.collections4.map.AbstractMapDecorator#128,0.29
org.apache.commons.collections4.map.MultiValueMap#242,0.28
org.apache.commons.collections4.TransformerUtils#441,0.27
org.apache.commons.collections4.map.AbstractMapDecorator#110,0.26
org.apache.commons.collections4.map.MultiValueMap#134,0.25
org.apache.commons.collections4.TransformerUtils#460,0.24
org.apache.commons.collections4.map.AbstractMapDecorator#111,0.23
org.apache.commons.collections4.MapUtils#1323,0.22
org.apache.commons.collections4.MapUtils#1719,0.21
org.apache.commons.collections4.ListUtils#281,0.2
org.apache.commons.collections4.map.MultiValueMap#149,0.19
org.apache.commons.collections4.MapUtils#1588,0.18
org.apache.commons.collections4.MapUtils#1756,0.17
org.apache.commons.collections4.map.MultiValueMap#384,0.16
org.apache.commons.collections4.map.MultiValueMap#263,0.15
org.apache.commons.collections4.MapUtils#1033,0.14
org.apache.commons.collections4.PredicateUtils#213,0.13
org.apache.commons.collections4.MapUtils#1758,0.12
org.apache.commons.collections4.map.AbstractMapDecorator#102,0.11
org.apache.commons.collections4.map.MultiValueMap#266,0.1
org.apache.commons.collections4.MapUtils#1321,0.09
org.apache.commons.collections4.MapUtils#1717,0.08
org.apache.commons.collections4.map.MultiValueMap#385,0.07
org.apache.commons.collections4.map.MultiValueMap#264,0.06
org.apache.commons.collections4.PredicateUtils#211,0.05
org.apache.commons.collections4.map.MultiValueMap#314,0.04
org.apache.commons.collections4.PredicateUtils#237,0.03
org.apache.commons.collections4.map.AbstractMapDecorator#106,0.02
org.apache.commons.collections4.map.MultiValueMap#327,0.01
