Statement,Suspiciousness
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory#63,1.0
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory#60,0.99
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory#59,0.98
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#111,0.97
com.google.gson.Gson#328,0.96
com.google.gson.Gson#222,0.95
com.google.gson.Gson#214,0.94
com.google.gson.Gson#248,0.93
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory#70,0.92
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory#58,0.91
com.google.gson.Gson#362,0.9
com.google.gson.internal.bind.TypeAdapters#328,0.89
com.google.gson.GsonBuilder#517,0.88
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory#55,0.87
com.google.gson.Gson#363,0.86
com.google.gson.Gson#329,0.85
com.google.gson.reflect.TypeToken#303,0.84
com.google.gson.Gson#488,0.83
com.google.gson.internal.UnsafeAllocator#41,0.82
com.google.gson.internal.UnsafeAllocator#40,0.81
com.google.gson.Gson#172,0.8
com.google.gson.internal.ConstructorConstructor#213,0.79
com.google.gson.Gson#173,0.78
com.google.gson.Gson#879,0.77
com.google.gson.internal.ConstructorConstructor#218,0.76
com.google.gson.Gson#332,0.75
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper#56,0.74
com.google.gson.internal.ConstructorConstructor#107,0.73
com.google.gson.Gson#657,0.72
com.google.gson.Gson#250,0.71
com.google.gson.Gson#665,0.7
com.google.gson.stream.JsonWriter#534,0.69
com.google.gson.stream.JsonWriter#533,0.68
com.google.gson.stream.JsonWriter#528,0.67
com.google.gson.Gson#658,0.66
com.google.gson.internal.bind.TypeAdapters#897,0.65
com.google.gson.Gson#875,0.64
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory#52,0.63
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#241,0.62
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#244,0.61
com.google.gson.Gson#229,0.6
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#242,0.59
com.google.gson.Gson#228,0.58
com.google.gson.Gson#215,0.57
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper#57,0.56
com.google.gson.Gson#330,0.55
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#134,0.54
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#135,0.53
com.google.gson.Gson#355,0.52
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#247,0.51
com.google.gson.Gson#272,0.5
com.google.gson.Gson#296,0.49
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#237,0.48
com.google.gson.Gson#195,0.47
com.google.gson.stream.JsonWriter#619,0.46
com.google.gson.internal.bind.TypeAdapters#850,0.45
com.google.gson.stream.JsonWriter#613,0.44
com.google.gson.Gson#495,0.43
com.google.gson.Gson#198,0.42
com.google.gson.stream.JsonWriter#653,0.41
com.google.gson.stream.JsonWriter#652,0.4
com.google.gson.Gson#883,0.39
com.google.gson.internal.bind.TypeAdapters#839,0.38
com.google.gson.stream.JsonWriter#402,0.37
com.google.gson.stream.JsonWriter#615,0.36
com.google.gson.stream.JsonWriter#389,0.35
com.google.gson.Gson#321,0.34
com.google.gson.GsonBuilder#521,0.33
com.google.gson.Gson#353,0.32
com.google.gson.internal.bind.TypeAdapters#863,0.31
com.google.gson.Gson#243,0.3
com.google.gson.stream.JsonWriter#317,0.29
com.google.gson.internal.bind.TypeAdapters#878,0.28
com.google.gson.internal.ConstructorConstructor#89,0.27
com.google.gson.Gson#352,0.26
com.google.gson.internal.ConstructorConstructor#123,0.25
com.google.gson.Gson#208,0.24
com.google.gson.internal.ConstructorConstructor#134,0.23
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper#78,0.22
com.google.gson.stream.JsonWriter#392,0.21
com.google.gson.Gson#227,0.2
com.google.gson.Gson#226,0.19
com.google.gson.stream.JsonWriter#308,0.18
com.google.gson.stream.JsonWriter#347,0.17
com.google.gson.internal.ConstructorConstructor#85,0.16
com.google.gson.Gson#300,0.15
com.google.gson.stream.JsonWriter#598,0.14
com.google.gson.internal.ConstructorConstructor#100,0.13
com.google.gson.Gson#320,0.12
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper#53,0.11
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper#54,0.1
com.google.gson.Gson#199,0.09
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper#76,0.08
com.google.gson.Gson#503,0.07
com.google.gson.Gson#324,0.06
com.google.gson.Gson#371,0.05
com.google.gson.GsonBuilder#483,0.04
com.google.gson.stream.JsonWriter#349,0.03
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory#43,0.02
com.google.gson.Gson#411,0.01
