Statement,Suspiciousness
com.google.javascript.jscomp.Compiler#1764,1.0
com.google.javascript.jscomp.LightweightMessageFormatter#92,0.99
com.google.javascript.jscomp.LightweightMessageFormatter#91,0.98
com.google.javascript.jscomp.Compiler#1765,0.97
com.google.javascript.jscomp.Compiler#1254,0.96
com.google.javascript.jscomp.LightweightMessageFormatter#97,0.95
com.google.javascript.jscomp.LightweightMessageFormatter#90,0.94
com.google.javascript.jscomp.LightweightMessageFormatter#76,0.93
com.google.javascript.jscomp.LightweightMessageFormatter#77,0.92
com.google.javascript.jscomp.LightweightMessageFormatter#79,0.91
com.google.javascript.jscomp.Compiler#1261,0.9
com.google.javascript.jscomp.AbstractCommandLineRunner#310,0.89
com.google.javascript.jscomp.AbstractCommandLineRunner#912,0.88
com.google.javascript.jscomp.AbstractMessageFormatter#60,0.87
com.google.javascript.jscomp.AbstractMessageFormatter#64,0.86
com.google.javascript.jscomp.AbstractMessageFormatter#59,0.85
com.google.javascript.jscomp.Compiler#1459,0.84
com.google.javascript.jscomp.LightweightMessageFormatter#75,0.83
com.google.javascript.jscomp.LightweightMessageFormatter#74,0.82
com.google.javascript.jscomp.Compiler#75,0.81
com.google.javascript.jscomp.LightweightMessageFormatter#110,0.8
com.google.javascript.jscomp.AbstractCommandLineRunner#382,0.79
com.google.javascript.jscomp.Compiler#218,0.78
com.google.javascript.jscomp.LightweightMessageFormatter#85,0.77
com.google.javascript.jscomp.AbstractMessageFormatter#57,0.76
com.google.javascript.jscomp.Compiler#373,0.75
com.google.javascript.jscomp.Compiler#217,0.74
com.google.javascript.jscomp.Compiler#249,0.73
com.google.javascript.jscomp.LightweightMessageFormatter#89,0.72
com.google.javascript.jscomp.AbstractMessageFormatter#66,0.71
com.google.javascript.jscomp.AbstractCommandLineRunner#317,0.7
com.google.javascript.jscomp.Compiler#1152,0.69
com.google.javascript.jscomp.AbstractMessageFormatter#82,0.68
com.google.javascript.jscomp.LightweightMessageFormatter#69,0.67
com.google.javascript.jscomp.JSError#200,0.66
com.google.javascript.jscomp.Compiler#386,0.65
com.google.javascript.jscomp.JSError#143,0.64
com.google.javascript.jscomp.AbstractCompiler#1764,0.63
com.google.javascript.jscomp.JSError#85,0.62
com.google.javascript.jscomp.Compiler#1143,0.61
com.google.javascript.jscomp.JSError#147,0.6
com.google.javascript.jscomp.DefaultPassConfig#793,0.59
com.google.javascript.jscomp.JSError#146,0.58
com.google.javascript.jscomp.JSError#148,0.57
com.google.javascript.jscomp.Compiler#376,0.56
com.google.javascript.jscomp.LightweightMessageFormatter#44,0.55
com.google.javascript.jscomp.LightweightMessageFormatter#49,0.54
com.google.javascript.jscomp.Compiler#76,0.53
com.google.javascript.jscomp.AbstractCompiler#1763,0.52
com.google.javascript.jscomp.AbstractCommandLineRunner#1054,0.51
com.google.javascript.jscomp.LightweightMessageFormatter#32,0.5
com.google.javascript.jscomp.Compiler#1260,0.49
com.google.javascript.jscomp.CompilerOptions#1065,0.48
com.google.javascript.jscomp.AbstractMessageFormatter#32,0.47
com.google.javascript.jscomp.LightweightMessageFormatter#50,0.46
com.google.javascript.jscomp.Compiler#1132,0.45
com.google.javascript.jscomp.Compiler#71,0.44
com.google.javascript.jscomp.AbstractMessageFormatter#33,0.43
com.google.javascript.jscomp.AbstractCommandLineRunner#641,0.42
com.google.javascript.jscomp.DiagnosticType#54,0.41
com.google.javascript.jscomp.LightweightMessageFormatter#120,0.4
com.google.javascript.jscomp.DiagnosticType#99,0.39
com.google.javascript.jscomp.Compiler#377,0.38
com.google.javascript.jscomp.DiagnosticType#98,0.37
com.google.javascript.jscomp.AbstractCommandLineRunner#153,0.36
com.google.javascript.jscomp.AbstractCommandLineRunner#710,0.35
com.google.javascript.jscomp.DiagnosticType#103,0.34
com.google.javascript.jscomp.AbstractCommandLineRunner#142,0.33
com.google.javascript.jscomp.Compiler#229,0.32
com.google.javascript.jscomp.CheckLevel#24,0.31
com.google.javascript.jscomp.CheckLevel#26,0.3
com.google.javascript.jscomp.CheckLevel#30,0.29
com.google.javascript.jscomp.Compiler#156,0.28
com.google.javascript.jscomp.Compiler#1753,0.27
com.google.javascript.jscomp.DefaultPassConfig#791,0.26
com.google.javascript.jscomp.Compiler#895,0.25
com.google.javascript.jscomp.DiagnosticType#77,0.24
com.google.javascript.jscomp.Compiler#1755,0.23
com.google.javascript.jscomp.LightweightMessageFormatter#99,0.22
com.google.javascript.jscomp.DiagnosticType#131,0.21
com.google.javascript.jscomp.Compiler#1741,0.2
com.google.javascript.jscomp.DiagnosticType#65,0.19
com.google.javascript.jscomp.AbstractCommandLineRunner#145,0.18
com.google.javascript.jscomp.AbstractMessageFormatter#54,0.17
com.google.javascript.jscomp.LightweightMessageFormatter#102,0.16
com.google.javascript.jscomp.DefaultPassConfig#207,0.15
com.google.javascript.jscomp.AbstractCommandLineRunner#143,0.14
com.google.javascript.jscomp.LightweightMessageFormatter#104,0.13
com.google.javascript.jscomp.AbstractCommandLineRunner#104,0.12
com.google.javascript.jscomp.LightweightMessageFormatter#100,0.11
com.google.javascript.jscomp.AbstractCommandLineRunner#103,0.1
com.google.javascript.jscomp.Compiler#894,0.09
com.google.javascript.jscomp.Compiler#1747,0.08
com.google.javascript.jscomp.AbstractCommandLineRunner#102,0.07
com.google.javascript.jscomp.LightweightMessageFormatter#129,0.06
com.google.javascript.jscomp.Compiler#1786,0.05
com.google.javascript.jscomp.LightweightMessageFormatter#127,0.04
com.google.javascript.jscomp.LightweightMessageFormatter#63,0.03
com.google.javascript.jscomp.AbstractCommandLineRunner#700,0.02
com.google.javascript.jscomp.AbstractMessageFormatter#77,0.01
