Statement,Suspiciousness
org.apache.commons.codec.binary.CharSequenceUtils#60,1.0
org.apache.commons.codec.binary.CharSequenceUtils#59,0.98214287
org.apache.commons.codec.binary.CharSequenceUtils#54,0.96428573
org.apache.commons.codec.binary.CharSequenceUtils#55,0.9464286
org.apache.commons.codec.binary.CharSequenceUtils#56,0.9285714
org.apache.commons.codec.binary.StringUtils#81,0.91071427
org.apache.commons.codec.binary.CharSequenceUtils#58,0.89285713
org.apache.commons.codec.language.bm.Rule#721,0.875
org.apache.commons.codec.binary.CharSequenceUtils#63,0.85714287
org.apache.commons.codec.binary.CharSequenceUtils#51,0.83928573
org.apache.commons.codec.language.bm.Rule#515,0.8214286
org.apache.commons.codec.language.bm.Rule#514,0.8035714
org.apache.commons.codec.binary.StringUtils#78,0.78571427
org.apache.commons.codec.binary.CharSequenceUtils#52,0.76785713
org.apache.commons.codec.binary.StringUtils#72,0.75
org.apache.commons.codec.binary.CharSequenceUtils#71,0.73214287
org.apache.commons.codec.language.bm.Rule#706,0.71428573
org.apache.commons.codec.binary.CharSequenceUtils#73,0.6964286
org.apache.commons.codec.binary.StringUtils#292,0.6785714
org.apache.commons.codec.binary.CharSequenceUtils#42,0.66071427
org.apache.commons.codec.language.bm.Rule#526,0.64285713
org.apache.commons.codec.binary.StringUtils#174,0.625
org.apache.commons.codec.language.bm.Rule#601,0.60714287
org.apache.commons.codec.language.bm.Rule#587,0.58928573
org.apache.commons.codec.binary.StringUtils#253,0.5714286
org.apache.commons.codec.binary.StringUtils#132,0.5535714
org.apache.commons.codec.binary.StringUtils#178,0.53571427
org.apache.commons.codec.language.bm.Rule#539,0.51785713
org.apache.commons.codec.language.bm.Rule#547,0.5
org.apache.commons.codec.binary.StringUtils#179,0.48214287
org.apache.commons.codec.language.bm.Rule#521,0.4642857
org.apache.commons.codec.language.bm.Rule#124,0.44642857
org.apache.commons.codec.binary.StringUtils#97,0.42857143
org.apache.commons.codec.language.bm.Rule#109,0.4107143
org.apache.commons.codec.language.bm.Rule#196,0.39285713
org.apache.commons.codec.language.bm.Rule#519,0.375
org.apache.commons.codec.language.bm.Rule#726,0.35714287
org.apache.commons.codec.binary.StringUtils#271,0.3392857
org.apache.commons.codec.language.bm.Rule#567,0.32142857
org.apache.commons.codec.binary.StringUtils#39,0.30357143
org.apache.commons.codec.language.bm.Rule#508,0.2857143
org.apache.commons.codec.language.bm.PhoneticEngine#179,0.26785713
org.apache.commons.codec.language.bm.Rule#283,0.25
org.apache.commons.codec.binary.StringUtils#276,0.23214285
org.apache.commons.codec.binary.StringUtils#112,0.21428572
org.apache.commons.codec.language.bm.PhoneticEngine#91,0.19642857
org.apache.commons.codec.binary.StringUtils#114,0.17857143
org.apache.commons.codec.language.bm.Rule#585,0.16071428
org.apache.commons.codec.language.bm.Rule#535,0.14285715
org.apache.commons.codec.language.bm.Rule#556,0.125
org.apache.commons.codec.binary.StringUtils#73,0.10714286
org.apache.commons.codec.language.bm.Rule#545,0.08928572
org.apache.commons.codec.language.bm.Rule#558,0.071428575
org.apache.commons.codec.binary.StringUtils#320,0.05357143
org.apache.commons.codec.language.bm.Rule#537,0.035714287
org.apache.commons.codec.language.bm.Rule#543,0.017857144
