Statement,Suspiciousness
org.mockito.ArgumentCaptor#105,1.0
org.mockito.internal.invocation.InvocationMatcher#130,0.99
org.mockito.internal.invocation.InvocationMatcher#129,0.98
org.mockito.internal.invocation.InvocationMatcher#127,0.97
org.mockito.internal.invocation.InvocationMatcher#121,0.96
org.mockito.ArgumentCaptor#171,0.95
org.mockito.ArgumentCaptor#155,0.94
org.mockito.internal.invocation.InvocationMatcher#123,0.93
org.mockito.internal.invocation.InvocationMatcher#124,0.92
org.mockito.ArgumentCaptor#67,0.91
org.mockito.ArgumentCaptor#65,0.9
org.mockito.internal.invocation.InvocationMatcher#128,0.89
org.mockito.internal.matchers.CapturingMatcher#50,0.88
org.mockito.exceptions.base.MockitoSerializationIssue#42,0.87
org.mockito.internal.matchers.LocalizedMatcher#63,0.86
org.mockito.ArgumentCaptor#118,0.85
org.mockito.internal.matchers.ArrayEquals#67,0.84
org.mockito.internal.matchers.VarargCapturingMatcher#32,0.83
org.mockito.internal.invocation.ArgumentsProcessor#32,0.82
org.mockito.internal.invocation.ArgumentsProcessor#28,0.81
org.mockito.internal.invocation.InvocationMatcher#122,0.8
org.mockito.internal.matchers.VarargCapturingMatcher#30,0.79
org.mockito.internal.invocation.ArgumentsProcessor#26,0.78
org.mockito.ArgumentCaptor#106,0.77
org.mockito.internal.invocation.ArgumentsProcessor#34,0.76
org.mockito.internal.invocation.ArgumentsProcessor#36,0.75
org.mockito.exceptions.Reporter#651,0.74
org.mockito.internal.matchers.VarargCapturingMatcher#24,0.73
org.mockito.internal.util.collections.ArrayUtils#11,0.72
org.mockito.MockitoAnnotations#90,0.71
org.mockito.internal.matchers.CapturingMatcher#45,0.7
org.mockito.internal.matchers.VarargCapturingMatcher#36,0.69
org.mockito.internal.matchers.VarargCapturingMatcher#29,0.68
org.mockito.internal.matchers.CapturingMatcher#25,0.67
org.mockito.ArgumentCaptor#91,0.66
org.mockito.internal.matchers.VarargCapturingMatcher#43,0.65
org.mockito.internal.matchers.VarargCapturingMatcher#37,0.64
org.mockito.Matchers#259,0.63
org.mockito.internal.matchers.VarargCapturingMatcher#19,0.62
org.mockito.internal.matchers.VarargCapturingMatcher#49,0.61
org.mockito.internal.matchers.LocalizedMatcher#69,0.6
org.mockito.internal.invocation.InvocationMatcher#133,0.59
org.mockito.exceptions.Reporter#492,0.58
org.mockito.internal.matchers.VarargCapturingMatcher#48,0.57
org.mockito.internal.matchers.ArrayEquals#74,0.56
org.mockito.internal.matchers.ArrayEquals#71,0.55
org.mockito.internal.matchers.ArrayEquals#70,0.54
org.mockito.internal.invocation.InvocationMatcher#136,0.53
org.mockito.internal.matchers.VarargCapturingMatcher#35,0.52
org.mockito.internal.invocation.ArgumentsComparator#60,0.51
org.mockito.internal.matchers.VarargCapturingMatcher#20,0.5
org.mockito.internal.matchers.ArrayEquals#72,0.49
org.mockito.internal.invocation.ArgumentsComparator#42,0.48
org.mockito.MockitoAnnotations#98,0.47
org.mockito.internal.invocation.ArgumentsComparator#48,0.46
org.mockito.internal.invocation.ArgumentsComparator#49,0.45
org.mockito.Matchers#709,0.44
org.mockito.internal.matchers.VarargCapturingMatcher#40,0.43
org.mockito.Mockito#2346,0.42
org.mockito.Mockito#2345,0.41
org.mockito.internal.matchers.LocalizedMatcher#65,0.4
org.mockito.internal.matchers.VarargCapturingMatcher#50,0.39
org.mockito.internal.util.reflection.SuperTypesLastSorter#40,0.38
org.mockito.internal.invocation.InvocationMatcher#134,0.37
org.mockito.internal.util.MockUtil#84,0.36
org.mockito.internal.util.reflection.SuperTypesLastSorter#26,0.35
org.mockito.internal.configuration.injection.scanner.MockScanner#74,0.34
org.mockito.internal.util.MockUtil#82,0.33
org.mockito.internal.util.reflection.SuperTypesLastSorter#45,0.32
org.mockito.internal.util.MockNameImpl#29,0.31
org.mockito.internal.util.reflection.SuperTypesLastSorter#41,0.3
org.mockito.internal.util.MockNameImpl#28,0.29
org.mockito.MockitoAnnotations#124,0.28
org.mockito.internal.matchers.CapturingMatcher#32,0.27
org.mockito.internal.util.reflection.SuperTypesLastSorter#49,0.26
org.mockito.internal.util.reflection.SuperTypesLastSorter#36,0.25
org.mockito.internal.verification.checkers.NumberOfInvocationsChecker#40,0.24
org.mockito.internal.util.reflection.SuperTypesLastSorter#27,0.23
org.mockito.Matchers#200,0.22
org.mockito.internal.verification.checkers.NumberOfInvocationsChecker#34,0.21
org.mockito.internal.verification.checkers.NumberOfInvocationsChecker#22,0.2
org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues#63,0.19
org.mockito.internal.verification.checkers.NumberOfInvocationsChecker#28,0.18
org.mockito.internal.verification.checkers.NumberOfInvocationsChecker#31,0.17
org.mockito.MockitoAnnotations#122,0.16
org.mockito.internal.verification.checkers.NumberOfInvocationsChecker#30,0.15
org.mockito.MockitoAnnotations#129,0.14
org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues#75,0.13
org.mockito.Mockito#1616,0.12
org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues#78,0.11
org.mockito.internal.matchers.LocalizedMatcher#24,0.1
org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues#67,0.09
org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues#66,0.08
org.mockito.internal.verification.Times#35,0.07
org.mockito.internal.matchers.Any#22,0.06
org.mockito.internal.matchers.CapturingMatcher#35,0.05
org.mockito.internal.verification.checkers.MissingInvocationChecker#23,0.04
org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues#64,0.03
org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues#99,0.02
org.mockito.Mockito#2388,0.01
