Statement,Suspiciousness
com.google.javascript.jscomp.AbstractCommandLineRunner#241,1.0
com.google.javascript.jscomp.AbstractCommandLineRunner#240,0.999998
com.google.javascript.jscomp.AbstractCommandLineRunner#244,0.999996
com.google.javascript.jscomp.AbstractCommandLineRunner#194,0.999994
com.google.javascript.jscomp.AbstractCommandLineRunner#247,0.999992
com.google.javascript.jscomp.AbstractCommandLineRunner#325,0.99999
com.google.javascript.jscomp.AbstractCommandLineRunner#243,0.999988
com.google.javascript.jscomp.AbstractCommandLineRunner#249,0.999986
com.google.javascript.jscomp.AbstractCommandLineRunner#248,0.999984
com.google.javascript.jscomp.AbstractCommandLineRunner#246,0.999982
com.google.javascript.jscomp.AbstractCommandLineRunner#245,0.99998
com.google.javascript.jscomp.AbstractCommandLineRunner#242,0.999978
com.google.javascript.jscomp.AbstractCommandLineRunner#172,0.999976
com.google.javascript.jscomp.AbstractCommandLineRunner#327,0.999974
com.google.javascript.jscomp.AbstractCommandLineRunner#480,0.999972
com.google.javascript.jscomp.AbstractCommandLineRunner#509,0.99997
com.google.javascript.jscomp.AbstractCommandLineRunner#513,0.999968
com.google.javascript.jscomp.AbstractCommandLineRunner#512,0.999966
com.google.javascript.jscomp.AbstractCommandLineRunner#1617,0.999964
com.google.javascript.jscomp.AbstractCommandLineRunner#174,0.999962
com.google.javascript.jscomp.AbstractCommandLineRunner#1618,0.99996
com.google.javascript.jscomp.AbstractCommandLineRunner#256,0.999958
com.google.javascript.jscomp.AbstractCommandLineRunner#326,0.999956
com.google.javascript.jscomp.AbstractCommandLineRunner#1078,0.999954
com.google.javascript.jscomp.AbstractCommandLineRunner#1077,0.999952
com.google.javascript.jscomp.AbstractCommandLineRunner#428,0.99995
com.google.javascript.jscomp.AbstractCommandLineRunner#626,0.999948
com.google.javascript.jscomp.AbstractCommandLineRunner#627,0.999946
com.google.javascript.jscomp.AbstractCommandLineRunner#1628,0.999944
com.google.javascript.jscomp.AbstractCommandLineRunner#320,0.999942
com.google.javascript.jscomp.AbstractCommandLineRunner#322,0.99994
com.google.javascript.jscomp.AbstractCommandLineRunner#1612,0.999938
com.google.javascript.jscomp.AbstractCommandLineRunner#251,0.999936
com.google.javascript.jscomp.AbstractCommandLineRunner#594,0.999934
com.google.javascript.jscomp.AbstractCommandLineRunner#484,0.999932
com.google.javascript.jscomp.AbstractCommandLineRunner#636,0.99993
com.google.javascript.jscomp.AbstractCommandLineRunner#469,0.999928
com.google.javascript.jscomp.AbstractCommandLineRunner#1629,0.999926
com.google.javascript.jscomp.AbstractCommandLineRunner#349,0.999924
com.google.javascript.jscomp.AbstractCommandLineRunner#348,0.999922
com.google.javascript.jscomp.AbstractCommandLineRunner#338,0.99992
com.google.javascript.jscomp.AbstractCommandLineRunner#347,0.999918
com.google.javascript.jscomp.AbstractCommandLineRunner#330,0.999916
