Statement,Suspiciousness
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#2671,1.0
com.fasterxml.jackson.core.JsonFactory#893,0.99
com.fasterxml.jackson.core.json.UTF8StreamJsonParser#3615,0.98
com.fasterxml.jackson.core.json.UTF8StreamJsonParser#675,0.97
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#812,0.96
com.fasterxml.jackson.core.json.UTF8StreamJsonParser#951,0.95
com.fasterxml.jackson.core.JsonLocation#81,0.94
com.fasterxml.jackson.core.base.ParserBase#475,0.93
com.fasterxml.jackson.core.base.ParserBase#479,0.92
com.fasterxml.jackson.core.base.ParserBase#480,0.91
com.fasterxml.jackson.core.io.IOContext#126,0.9
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#1136,0.89
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#961,0.88
com.fasterxml.jackson.core.JsonLocation#50,0.87
com.fasterxml.jackson.core.JsonLocation#51,0.86
com.fasterxml.jackson.core.json.UTF8StreamJsonParser#1107,0.85
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#1063,0.84
com.fasterxml.jackson.core.JsonLocation#54,0.83
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#1135,0.82
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#1090,0.81
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#643,0.8
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#644,0.79
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#642,0.78
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#2050,0.77
com.fasterxml.jackson.core.json.UTF8StreamJsonParser#3621,0.76
com.fasterxml.jackson.core.json.UTF8StreamJsonParser#1290,0.75
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#1112,0.74
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#601,0.73
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#632,0.72
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#718,0.71
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#2051,0.7
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#633,0.69
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#701,0.68
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#631,0.67
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#716,0.66
com.fasterxml.jackson.core.json.UTF8StreamJsonParser#1267,0.65
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#721,0.64
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#967,0.63
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#708,0.62
com.fasterxml.jackson.core.json.UTF8StreamJsonParser#1244,0.61
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#260,0.6
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#276,0.59
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#711,0.58
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#1603,0.57
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#1017,0.56
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#112,0.55
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#859,0.54
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#752,0.53
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#965,0.52
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#2045,0.51
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#115,0.5
com.fasterxml.jackson.core.json.UTF8StreamJsonParser#1265,0.49
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#113,0.48
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#268,0.47
com.fasterxml.jackson.core.json.UTF8StreamJsonParser#644,0.46
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#630,0.45
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#284,0.44
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#1599,0.43
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#1597,0.42
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#655,0.41
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#1593,0.4
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#1175,0.39
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#1598,0.38
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#1595,0.37
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#1594,0.36
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#2040,0.35
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#2043,0.34
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#1098,0.33
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#2044,0.32
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer#491,0.31
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#1075,0.3
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer#489,0.29
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer#490,0.28
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#654,0.27
com.fasterxml.jackson.core.json.UTF8StreamJsonParser#883,0.26
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer#446,0.25
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer#560,0.24
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer#561,0.23
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer#558,0.22
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer#559,0.21
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#1607,0.2
com.fasterxml.jackson.core.json.UTF8StreamJsonParser#840,0.19
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer#502,0.18
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#1077,0.17
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer#504,0.16
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer#506,0.15
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer#507,0.14
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer#500,0.13
com.fasterxml.jackson.core.json.ReaderBasedJsonParser#1100,0.12
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer#434,0.11
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer#605,0.1
com.fasterxml.jackson.core.json.UTF8StreamJsonParser#797,0.09
